Iron County, Utah, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197901,22.0
197902,28.4
197903,37.2
197904,44.8
197905,54.1
197906,62.8
197907,70.4
197908,66.7
197909,64.4
197910,52.8
197911,33.9
197912,32.7
198001,32.4
198002,36.0
198003,34.5
198004,45.2
198005,50.4
198006,62.4
198007,71.3
198008,67.8
198009,60.4
198010,48.6
198011,39.2
198012,36.7
198101,32.4
198102,34.6
198103,37.0
198104,48.7
198105,52.9
198106,67.1
198107,72.8
198108,69.5
198109,62.1
198110,46.3
198111,41.0
198112,35.0
198201,25.9
198202,31.3
198203,36.7
198204,42.6
198205,52.8
198206,61.2
198207,67.8
198208,69.5
198209,59.5
198210,45.1
198211,35.3
198212,27.2
198301,31.3
198302,34.9
198303,38.1
198304,39.3
198305,50.9
198306,62.1
198307,68.5
198308,67.4
198309,62.7
198310,50.2
198311,37.4
198312,32.1
198401,26.3
198402,30.0
198403,37.2
198404,41.9
198405,59.0
198406,62.3
198407,70.3
198408,68.1
198409,61.7
198410,42.9
198411,37.1
198412,27.2
198501,26.4
198502,28.0
198503,35.9
198504,48.9
198505,56.1
198506,66.5
198507,71.6
198508,68.9
198509,55.9
198510,48.2
198511,34.0
198512,29.5
198601,36.3
198602,36.0
198603,43.8
198604,45.6
198605,54.5
198606,67.0
198607,68.4
198608,71.0
198609,55.2
198610,47.3
198611,38.4
198612,31.2
198701,26.4
198702,32.1
198703,36.2
198704,50.1
198705,54.7
198706,66.7
198707,68.2
198708,68.5
198709,61.8
198710,53.4
198711,36.8
198712,26.2
198801,25.4
198802,33.1
198803,37.2
198804,46.1
198805,52.9
198806,66.2
198807,72.9
198808,68.4
198809,59.4
198810,56.0
198811,37.9
198812,26.7
198901,22.6
198902,28.0
198903,43.8
198904,52.0
198905,55.3
198906,63.4
198907,73.3
198908,67.4
198909,61.2
198910,49.4
198911,39.9
198912,31.4
199001,30.2
199002,28.7
199003,41.4
199004,48.6
199005,53.4
199006,66.0
199007,71.7
199008,68.1
199009,63.4
199010,50.9
199011,38.0
199012,21.9
199101,26.8
199102,37.9
199103,34.6
199104,42.4
199105,50.6
199106,61.4
199107,71.1
199108,69.3
199109,61.5
199110,51.5
199111,36.4
199112,29.6
199201,28.5
199202,36.2
199203,40.1
199204,51.9
199205,57.2
199206,63.0
199207,68.5
199208,69.0
199209,62.2
199210,52.8
199211,33.1
199212,25.4
199301,28.7
199302,30.2
199303,41.5
199304,46.0
199305,55.8
199306,60.3
199307,68.2
199308,67.7
199309,60.6
199310,48.7
199311,34.4
199312,29.4
199401,32.6
199402,30.5
199403,42.5
199404,46.4
199405,55.4
199406,68.7
199407,73.2
199408,71.7
199409,62.8
199410,47.3
199411,29.6
199412,30.4
199501,30.4
199502,41.2
199503,38.8
199504,43.0
199505,49.2
199506,57.9
199507,69.2
199508,70.8
199509,63.2
199510,50.8
199511,44.1
199512,32.7
199601,31.9
199602,36.9
199603,40.2
199604,46.5
199605,57.2
199606,67.6
199607,73.6
199608,71.4
199609,59.4
199610,47.2
199611,38.4
199612,31.7
199701,29.1
199702,31.3
199703,43.4
199704,43.0
199705,58.2
199706,63.8
199707,69.3
199708,69.6
199709,61.3
199710,48.4
199711,39.4
199712,27.9
199801,33.0
199802,30.6
199803,37.6
199804,41.6
199805,50.8
199806,58.7
199807,71.6
199808,70.7
199809,60.9
199810,46.6
199811,38.5
199812,29.6
199901,33.5
199902,35.4
199903,41.6
199904,39.7
199905,52.4
199906,62.9
199907,69.5
199908,67.6
199909,60.3
199910,53.0
199911,43.8
199912,30.1
200001,32.9
200002,35.9
200003,38.7
200004,50.6
200005,59.0
200006,66.6
200007,72.1
200008,70.3
200009,62.4
200010,48.4
200011,30.9
200012,33.7
200101,28.6
200102,32.7
200103,41.5
200104,45.7
200105,59.2
200106,66.1
200107,70.7
200108,71.3
200109,64.8
200110,53.6
200111,39.5
200112,26.7
200201,28.8
200202,33.1
200203,36.3
200204,49.8
200205,55.4
200206,68.2
200207,75.1
200208,70.3
200209,61.1
200210,47.3
200211,37.8
200212,29.6
200301,38.4
200302,32.0
200303,39.8
200304,43.8
200305,56.6
200306,65.6
200307,75.5
200308,70.8
200309,63.1
200310,55.9
200311,35.5
200312,31.5
200401,27.3
200402,28.6
200403,46.3
200404,47.2
200405,56.6
200406,65.8
200407,70.9
200408,68.0
200409,59.8
200410,48.0
200411,35.6
200412,32.1
200501,33.8
200502,34.5
200503,38.6
200504,44.2
200505,55.0
200506,60.9
200507,73.7
200508,67.1
200509,60.3
200510,50.3
200511,41.0
200512,32.1
200601,31.4
200602,34.3
200603,34.8
200604,47.0
200605,58.3
200606,68.1
200607,72.9
200608,69.2
200609,58.1
200610,47.5
200611,40.3
200612,29.7
200701,24.2
200702,35.4
200703,43.9
200704,48.1
200705,57.2
200706,67.0
200707,74.6
200708,71.2
200709,61.1
200710,49.5
200711,42.8
200712,26.4
200801,25.9
200802,32.4
200803,39.0
200804,44.2
200805,51.7
200806,64.5
200807,72.3
200808,71.1
200809,62.4
200810,51.1
200811,42.0
200812,28.6
200901,32.0
200902,33.3
200903,39.3
200904,44.7
200905,59.4
200906,61.3
200907,72.5
200908,69.3
200909,63.6
200910,46.2
200911,40.7
200912,25.3
201001,30.8
201002,32.5
201003,38.0
201004,43.2
201005,49.1
201006,64.7
201007,72.9
201008,68.3
201009,63.6
201010,50.4
201011,35.3
201012,34.4
201101,29.4
201102,30.1
201103,39.5
201104,43.9
201105,50.3
201106,62.2
201107,70.0
201108,71.1
201109,62.6
201110,50.2
201111,37.3
201112,29.1
201201,33.7
201202,32.3
201203,40.8
201204,48.2
201205,57.7
201206,67.2
201207,70.6
201208,70.6
201209,62.9
201210,51.9
201211,42.3
201212,28.8
201301,23.0
201302,29.7
201303,42.8
201304,45.8
201305,54.5
201306,68.2
201307,72.6
201308,68.6
201309,59.5
201310,46.0
201311,39.1
201312,26.4
201401,34.7
201402,37.5
201403,41.0
201404,47.2
201405,55.7
201406,66.1
201407,72.8
201408,66.8
201409,63.6
201410,53.6
201411,40.0
201412,32.7
201501,35.1
201502,40.7
201503,44.9
201504,46.4
201505,52.6
201506,68.7
201507,69.1
201508,70.6
201509,65.3
201510,54.0
201511,34.8
201512,28.8
201601,29.5
201602,35.6
201603,42.2
201604,46.9
201605,53.6
201606,70.1
201607,73.0
201608,69.1
201609,60.7
201610,53.8
201611,42.0
201612,29.5
201701,28.0
201702,37.5
201703,44.7
201704,45.7
201705,55.1
201706,68.9
201707,73.7
201708,70.4
201709,59.7
201710,49.4
201711,44.9
201712,33.3
201801,35.2
201802,32.8
201803,38.9
201804,49.4
201805,56.4
201806,68.1
201807,74.4
201808,71.7
201809,65.1
201810,47.6
201811,36.8
201812,30.2
201901,29.8
201902,26.9
201903,38.7
201904,47.8
201905,48.4
201906,62.2
201907,70.9
201908,71.5
201909,62.2
201910,43.9
201911,39.7
201912,30.6
202001,32.2
202002,33.8
202003,39.4
202004,47.6
202005,58.6
202006,64.6
202007,72.6
202008,73.9
202009,64.5
202010,54.2
202011,39.8
202012,30.1
202101,30.5
202102,33.9
202103,37.8
202104,48.6
202105,56.5
202106,70.4
202107,73.8
202108,70.2
202109,64.1
202110,47.3
